user_id,signup_date,country,age,gender,acquisition_channel,campaign_id,kyc_completed,kyc_date
USR_69,26-06-2023,Canada,58,Male,Facebook,CMP_4,1,30-06-2023
USR_70,25-07-2023,India,33,Male,Instagram,CMP_4,1,26-07-2023
USR_71,22-02-2023,India,56,Male,Organic,CMP_7,1,25-02-2023
USR_72,11-08-2023,UK,40,Male,Google,CMP_10,1,14-08-2023
USR_73,17-03-2023,USA,34,Male,Organic,CMP_9,1,18-03-2023
USR_74,17-06-2023,USA,44,Female,Google,CMP_10,1,18-06-2023
USR_75,05-12-2023,Canada,18,Female,Google,CMP_8,1,08-12-2023
USR_76,05-08-2023,India,48,Male,Google,CMP_4,1,08-08-2023
USR_77,01-04-2023,UK,56,Female,Referral,CMP_10,1,03-04-2023
USR_78,08-08-2023,UK,25,Male,Organic,CMP_10,1,09-08-2023
USR_79,14-12-2023,India,42,Female,Google,CMP_9,1,16-12-2023
USR_80,27-02-2023,Canada,38,Male,Facebook,CMP_5,1,02-03-2023
USR_81,27-05-2023,USA,58,Male,Facebook,CMP_4,1,28-05-2023
USR_82,23-02-2023,UK,40,Male,Google,CMP_6,1,27-02-2023
USR_83,29-09-2023,India,41,Female,Google,CMP_8,1,03-10-2023
USR_84,13-06-2023,India,45,Female,Google,CMP_10,0,
USR_85,11-07-2023,India,26,Male,Facebook,CMP_6,0,
USR_86,08-08-2023,Canada,35,Male,Organic,CMP_3,1,09-08-2023
USR_87,10-01-2023,Canada,22,Male,Organic,CMP_8,1,11-01-2023
USR_88,26-05-2023,India,43,Male,Google,CMP_1,0,
USR_89,10-10-2023,UK,51,Male,Organic,CMP_1,1,11-10-2023
USR_90,07-11-2023,India,22,Male,Instagram,CMP_6,0,
USR_91,23-01-2023,UK,27,Female,Organic,CMP_5,1,25-01-2023
USR_92,01-01-2023,India,21,Female,Google,CMP_3,1,05-01-2023
USR_93,03-02-2023,USA,51,Female,Facebook,CMP_8,0,
USR_94,02-11-2023,USA,22,Female,Instagram,CMP_1,1,03-11-2023
USR_95,22-04-2023,USA,38,Female,Organic,CMP_7,0,
USR_96,13-04-2023,USA,51,Female,Instagram,CMP_6,1,15-04-2023
USR_97,01-12-2023,Canada,55,Male,Referral,CMP_3,0,
USR_98,30-01-2023,India,34,Male,Instagram,CMP_7,1,03-02-2023
USR_99,26-11-2023,USA,41,Male,Google,CMP_1,1,28-11-2023
USR_100,24-07-2023,Canada,40,Male,Instagram,CMP_3,1,26-07-2023
USR_101,08-01-2023,Canada,42,Male,Facebook,CMP_4,1,09-01-2023
USR_102,09-06-2023,India,36,Male,Instagram,CMP_2,1,11-06-2023
USR_103,13-11-2023,India,18,Male,Facebook,CMP_6,1,15-11-2023
USR_104,03-02-2023,USA,44,Male,Instagram,CMP_1,1,04-02-2023
USR_105,02-08-2023,Canada,34,Female,Organic,CMP_8,0,
USR_106,23-04-2023,UK,32,Male,Facebook,CMP_3,0,
USR_107,14-01-2023,USA,31,Female,Organic,CMP_10,1,16-01-2023
USR_108,06-07-2023,UK,20,Male,Facebook,CMP_8,1,09-07-2023
USR_109,01-10-2023,India,32,Female,Google,CMP_10,1,05-10-2023
USR_110,21-07-2023,USA,56,Female,Google,CMP_7,1,22-07-2023
USR_111,25-05-2023,India,27,Male,Google,CMP_4,1,28-05-2023
USR_112,16-08-2023,India,25,Female,Instagram,CMP_6,1,18-08-2023
USR_113,11-04-2023,Canada,51,Male,Organic,CMP_6,1,13-04-2023
USR_114,17-08-2023,USA,39,Male,Facebook,CMP_9,1,21-08-2023
USR_115,04-01-2023,UK,20,Male,Organic,CMP_8,1,08-01-2023
USR_116,11-08-2023,Canada,45,Male,Google,CMP_6,1,13-08-2023
USR_117,04-04-2023,UK,19,Male,Organic,CMP_8,1,07-04-2023
USR_118,22-06-2023,Canada,21,Male,Facebook,CMP_5,1,23-06-2023
USR_119,20-05-2023,USA,55,Male,Instagram,CMP_1,1,24-05-2023
USR_120,29-11-2023,UK,27,Male,Facebook,CMP_3,1,01-12-2023
USR_121,13-01-2023,India,18,Male,Organic,CMP_8,1,14-01-2023
USR_122,07-02-2023,India,48,Male,Organic,CMP_7,0,
USR_123,24-08-2023,USA,28,Male,Facebook,CMP_2,1,27-08-2023
USR_124,01-01-2023,UK,46,Female,Organic,CMP_8,1,03-01-2023
USR_125,12-11-2023,UK,22,Male,Facebook,CMP_3,1,14-11-2023
USR_126,12-05-2023,Canada,42,Female,Organic,CMP_9,1,16-05-2023
USR_127,14-01-2023,UK,50,Male,Instagram,CMP_3,1,15-01-2023
USR_128,25-05-2023,India,19,Female,Google,CMP_1,0,
USR_129,08-02-2023,UK,20,Male,Google,CMP_3,1,12-02-2023
USR_130,15-01-2023,Canada,56,Male,Instagram,CMP_1,0,
USR_131,07-04-2023,Canada,50,Female,Organic,CMP_5,1,09-04-2023
USR_132,05-01-2023,UK,55,Male,Google,CMP_10,1,06-01-2023
USR_133,04-08-2023,India,46,Female,Google,CMP_4,1,08-08-2023
USR_134,28-11-2023,USA,53,Female,Facebook,CMP_2,1,29-11-2023
USR_135,28-05-2023,UK,23,Female,Google,CMP_10,1,30-05-2023
USR_136,29-12-2023,India,35,Male,Instagram,CMP_10,1,02-01-2024
USR_137,20-06-2023,India,22,Female,Referral,CMP_4,1,22-06-2023
USR_138,02-04-2023,Canada,46,Female,Facebook,CMP_10,0,
USR_139,24-09-2023,USA,54,Male,Facebook,CMP_7,0,
USR_140,01-07-2023,India,57,Male,Referral,CMP_7,1,02-07-2023
USR_141,17-05-2023,UK,43,Male,Organic,CMP_10,1,18-05-2023
USR_142,31-03-2023,USA,35,Male,Google,CMP_6,0,
USR_143,08-05-2023,Canada,42,Male,Facebook,CMP_3,1,12-05-2023
USR_144,10-06-2023,Canada,39,Female,Organic,CMP_1,1,11-06-2023
USR_145,03-12-2023,USA,37,Female,Google,CMP_4,1,04-12-2023
USR_146,26-12-2023,USA,49,Male,Google,CMP_1,1,29-12-2023
USR_147,30-07-2023,Canada,47,Female,Facebook,CMP_1,1,31-07-2023
USR_148,19-03-2023,Canada,19,Female,Google,CMP_3,1,21-03-2023
USR_149,15-06-2023,India,18,Female,Facebook,CMP_3,1,18-06-2023
USR_150,15-10-2023,India,51,Female,Google,CMP_10,1,19-10-2023
USR_151,15-10-2023,India,25,Male,Organic,CMP_2,1,19-10-2023
USR_152,12-09-2023,UK,54,Male,Facebook,CMP_8,1,15-09-2023
USR_153,21-09-2023,Canada,41,Female,Organic,CMP_2,0,
USR_154,14-06-2023,Canada,48,Male,Facebook,CMP_6,1,16-06-2023
USR_155,20-09-2023,India,36,Female,Facebook,CMP_1,0,
USR_156,12-10-2023,UK,22,Female,Organic,CMP_2,1,14-10-2023
USR_157,14-07-2023,India,37,Male,Facebook,CMP_7,1,16-07-2023
USR_158,14-08-2023,Canada,39,Female,Google,CMP_5,1,16-08-2023
USR_159,30-04-2023,UK,34,Female,Organic,CMP_7,1,01-05-2023
USR_160,09-02-2023,USA,56,Male,Instagram,CMP_2,1,11-02-2023
USR_161,04-01-2023,India,51,Male,Instagram,CMP_10,1,06-01-2023
USR_162,08-05-2023,USA,58,Female,Organic,CMP_5,1,09-05-2023
USR_163,17-03-2023,UK,39,Male,Facebook,CMP_7,0,
USR_164,14-05-2023,India,24,Female,Google,CMP_8,0,
USR_165,09-07-2023,USA,19,Female,Google,CMP_10,1,12-07-2023
USR_166,30-06-2023,UK,46,Male,Organic,CMP_4,1,04-07-2023
USR_167,13-06-2023,USA,57,Male,Organic,CMP_1,1,16-06-2023
USR_168,01-06-2023,Canada,50,Female,Facebook,CMP_6,1,04-06-2023
USR_169,15-08-2023,USA,51,Male,Facebook,CMP_4,1,16-08-2023
USR_170,20-07-2023,UK,42,Male,Organic,CMP_8,1,21-07-2023
USR_171,08-02-2023,Canada,54,Female,Organic,CMP_3,0,
USR_172,12-04-2023,UK,54,Female,Facebook,CMP_2,0,
USR_173,17-01-2023,Canada,29,Female,Instagram,CMP_10,0,
USR_174,21-09-2023,Canada,54,Female,Organic,CMP_5,0,
USR_175,25-01-2023,USA,32,Male,Google,CMP_2,1,27-01-2023
USR_176,16-02-2023,USA,34,Male,Instagram,CMP_10,1,18-02-2023
USR_177,27-09-2023,UK,25,Female,Organic,CMP_5,0,
USR_178,23-03-2023,USA,35,Male,Organic,CMP_4,1,25-03-2023
USR_179,08-06-2023,India,51,Male,Facebook,CMP_8,1,10-06-2023
USR_180,02-07-2023,India,32,Female,Facebook,CMP_7,1,04-07-2023
USR_181,29-07-2023,USA,59,Female,Organic,CMP_1,1,01-08-2023
USR_182,19-06-2023,USA,30,Male,Facebook,CMP_2,0,
USR_183,15-08-2023,India,46,Female,Facebook,CMP_7,1,16-08-2023
USR_184,24-08-2023,India,27,Female,Instagram,CMP_9,1,28-08-2023
USR_185,06-03-2023,USA,31,Female,Facebook,CMP_1,0,
USR_186,26-05-2023,USA,18,Male,Facebook,CMP_5,1,29-05-2023
USR_187,01-11-2023,USA,29,Male,Instagram,CMP_9,1,02-11-2023
USR_188,17-07-2023,USA,41,Male,Organic,CMP_7,1,18-07-2023
USR_189,18-07-2023,India,25,Female,Facebook,CMP_4,1,19-07-2023
USR_190,31-08-2023,India,43,Male,Facebook,CMP_10,0,
USR_191,19-09-2023,India,40,Male,Facebook,CMP_5,0,
USR_192,29-08-2023,India,35,Female,Instagram,CMP_10,1,02-09-2023
USR_193,15-08-2023,Canada,42,Male,Instagram,CMP_6,1,17-08-2023
USR_194,24-09-2023,India,45,Male,Google,CMP_9,1,26-09-2023
USR_195,28-11-2023,India,57,Male,Organic,CMP_10,1,30-11-2023
USR_196,04-05-2023,USA,22,Female,Google,CMP_6,1,05-05-2023
USR_197,12-11-2023,Canada,57,Male,Referral,CMP_5,1,15-11-2023
USR_198,05-07-2023,UK,51,Female,Google,CMP_3,0,
USR_199,16-10-2023,Canada,33,Female,Instagram,CMP_6,0,
USR_200,28-02-2023,USA,42,Male,Google,CMP_9,1,03-03-2023
USR_201,07-07-2023,USA,48,Male,Organic,CMP_7,1,10-07-2023
USR_202,07-06-2023,USA,53,Female,Facebook,CMP_7,1,11-06-2023
USR_203,22-10-2023,India,44,Male,Google,CMP_2,1,25-10-2023
USR_204,20-12-2023,USA,23,Male,Organic,CMP_8,1,21-12-2023
USR_205,12-08-2023,India,32,Female,Google,CMP_2,1,16-08-2023
USR_206,18-12-2023,India,44,Female,Facebook,CMP_4,1,19-12-2023
USR_207,12-07-2023,USA,35,Female,Instagram,CMP_6,0,
USR_208,12-10-2023,India,29,Male,Instagram,CMP_4,1,14-10-2023
USR_209,20-03-2023,USA,40,Female,Google,CMP_3,1,21-03-2023
USR_210,04-01-2023,UK,58,Male,Facebook,CMP_1,1,05-01-2023
USR_211,16-03-2023,USA,31,Female,Organic,CMP_4,1,19-03-2023
USR_212,03-12-2023,Canada,38,Male,Google,CMP_8,0,
USR_213,25-03-2023,UK,22,Male,Organic,CMP_6,1,29-03-2023
USR_214,15-01-2023,Canada,42,Female,Facebook,CMP_2,1,19-01-2023
USR_215,27-07-2023,India,42,Male,Facebook,CMP_8,1,30-07-2023
USR_216,27-01-2023,Canada,20,Male,Organic,CMP_2,1,31-01-2023
USR_217,12-11-2023,USA,32,Male,Instagram,CMP_10,1,13-11-2023
USR_218,24-08-2023,India,55,Female,Google,CMP_4,1,26-08-2023
USR_219,27-04-2023,India,28,Female,Organic,CMP_2,1,28-04-2023
USR_220,01-10-2023,Canada,48,Female,Google,CMP_2,1,02-10-2023
USR_221,16-10-2023,UK,28,Female,Referral,CMP_6,1,17-10-2023
USR_222,17-03-2023,USA,32,Female,Instagram,CMP_9,1,21-03-2023
USR_223,10-06-2023,India,50,Female,Organic,CMP_10,1,11-06-2023
USR_224,18-03-2023,USA,56,Female,Google,CMP_4,1,20-03-2023
USR_225,02-05-2023,Canada,59,Male,Organic,CMP_2,1,05-05-2023
USR_226,13-11-2023,India,26,Female,Organic,CMP_3,1,17-11-2023
USR_227,10-02-2023,Canada,25,Female,Referral,CMP_2,0,
USR_228,14-11-2023,USA,33,Female,Instagram,CMP_7,0,
USR_229,03-01-2023,USA,31,Male,Facebook,CMP_9,1,06-01-2023
USR_230,12-01-2023,USA,36,Male,Organic,CMP_9,1,16-01-2023
USR_231,09-08-2023,Canada,49,Male,Google,CMP_7,1,11-08-2023
USR_232,30-07-2023,UK,58,Male,Google,CMP_6,1,02-08-2023
USR_233,04-02-2023,Canada,50,Male,Facebook,CMP_6,1,05-02-2023
USR_234,08-06-2023,Canada,37,Male,Organic,CMP_10,1,10-06-2023
USR_235,20-01-2023,Canada,49,Male,Instagram,CMP_8,1,22-01-2023
USR_236,16-08-2023,UK,53,Female,Instagram,CMP_2,1,19-08-2023
USR_237,05-07-2023,USA,20,Male,Google,CMP_6,1,08-07-2023
USR_238,13-08-2023,USA,53,Female,Organic,CMP_3,1,17-08-2023
USR_239,14-01-2023,India,22,Female,Facebook,CMP_2,1,16-01-2023
USR_240,12-11-2023,UK,37,Female,Instagram,CMP_8,1,15-11-2023
USR_241,11-12-2023,India,52,Male,Google,CMP_9,1,15-12-2023
USR_242,13-06-2023,UK,28,Female,Google,CMP_7,1,17-06-2023
USR_243,03-04-2023,India,58,Male,Instagram,CMP_10,1,06-04-2023
USR_244,01-01-2023,India,37,Female,Facebook,CMP_9,1,04-01-2023
USR_245,23-07-2023,UK,45,Male,Organic,CMP_5,1,26-07-2023
USR_246,30-11-2023,USA,54,Female,Facebook,CMP_2,1,03-12-2023
USR_247,04-02-2023,India,22,Male,Facebook,CMP_6,1,08-02-2023
USR_248,03-10-2023,USA,51,Male,Google,CMP_5,0,
USR_249,08-02-2023,USA,40,Female,Instagram,CMP_8,1,12-02-2023
USR_250,06-05-2023,UK,59,Female,Organic,CMP_4,1,07-05-2023
USR_251,09-05-2023,India,49,Female,Instagram,CMP_7,0,
USR_252,24-06-2023,USA,43,Male,Instagram,CMP_2,1,26-06-2023
USR_253,25-05-2023,Canada,57,Male,Organic,CMP_10,1,26-05-2023
USR_254,29-10-2023,Canada,36,Male,Instagram,CMP_4,0,
USR_255,31-10-2023,USA,45,Female,Instagram,CMP_5,1,03-11-2023
USR_256,14-03-2023,India,30,Male,Google,CMP_1,1,15-03-2023
USR_257,20-11-2023,UK,21,Female,Google,CMP_2,0,
USR_258,23-03-2023,Canada,28,Male,Google,CMP_9,1,26-03-2023
USR_259,30-03-2023,UK,29,Female,Google,CMP_5,1,02-04-2023
USR_260,12-11-2023,UK,49,Male,Instagram,CMP_9,1,14-11-2023
USR_261,24-09-2023,USA,31,Female,Facebook,CMP_3,1,27-09-2023
USR_262,26-03-2023,Canada,19,Female,Referral,CMP_10,1,28-03-2023
USR_263,02-06-2023,Canada,54,Male,Google,CMP_5,1,05-06-2023
USR_264,09-12-2023,UK,38,Male,Organic,CMP_6,1,12-12-2023
USR_265,27-04-2023,India,32,Female,Instagram,CMP_9,1,30-04-2023
USR_266,17-10-2023,UK,44,Male,Google,CMP_4,1,21-10-2023
USR_267,24-05-2023,India,35,Female,Instagram,CMP_10,0,
USR_268,31-03-2023,Canada,24,Male,Instagram,CMP_9,1,01-04-2023
USR_269,08-06-2023,USA,59,Male,Google,CMP_7,0,
USR_270,25-03-2023,Canada,18,Female,Facebook,CMP_4,1,28-03-2023
USR_271,21-05-2023,Canada,38,Female,Instagram,CMP_7,1,22-05-2023
USR_272,28-09-2023,Canada,59,Female,Facebook,CMP_10,1,30-09-2023
USR_273,13-12-2023,Canada,41,Male,Google,CMP_5,1,15-12-2023
USR_274,11-12-2023,UK,27,Male,Organic,CMP_2,1,14-12-2023
USR_275,18-02-2023,India,50,Male,Organic,CMP_3,1,22-02-2023
USR_276,20-10-2023,USA,49,Male,Instagram,CMP_3,1,21-10-2023
USR_277,11-09-2023,India,52,Male,Referral,CMP_9,1,13-09-2023
USR_278,05-05-2023,Canada,28,Male,Organic,CMP_7,1,08-05-2023
USR_279,09-03-2023,India,49,Male,Google,CMP_10,1,13-03-2023
USR_280,17-08-2023,India,26,Female,Instagram,CMP_1,1,18-08-2023
USR_281,15-07-2023,UK,22,Female,Organic,CMP_1,1,19-07-2023
USR_282,18-08-2023,USA,20,Female,Instagram,CMP_8,1,22-08-2023
USR_283,15-09-2023,USA,51,Male,Instagram,CMP_6,1,17-09-2023
USR_284,27-10-2023,UK,30,Male,Referral,CMP_10,1,30-10-2023
USR_285,27-07-2023,India,33,Female,Facebook,CMP_10,1,31-07-2023
USR_286,03-01-2023,India,57,Female,Google,CMP_7,1,07-01-2023
USR_287,30-12-2023,USA,38,Female,Organic,CMP_1,1,03-01-2024
USR_288,19-08-2023,Canada,29,Female,Instagram,CMP_1,1,21-08-2023
USR_289,19-10-2023,India,19,Male,Facebook,CMP_1,1,20-10-2023
USR_290,27-11-2023,Canada,40,Female,Google,CMP_3,0,
USR_291,19-09-2023,Canada,32,Female,Organic,CMP_3,0,
USR_292,12-01-2023,UK,35,Male,Facebook,CMP_1,1,14-01-2023
USR_293,07-06-2023,USA,24,Female,Facebook,CMP_6,1,08-06-2023
USR_294,12-06-2023,USA,52,Female,Facebook,CMP_2,0,
USR_295,13-09-2023,USA,42,Male,Organic,CMP_10,1,16-09-2023
USR_296,27-09-2023,India,20,Male,Instagram,CMP_1,0,
USR_297,21-05-2023,Canada,38,Female,Facebook,CMP_5,1,25-05-2023
USR_298,22-06-2023,India,23,Female,Google,CMP_4,1,24-06-2023
USR_299,01-03-2023,USA,22,Male,Facebook,CMP_7,1,03-03-2023
USR_300,24-09-2023,UK,32,Male,Facebook,CMP_2,1,27-09-2023
USR_301,29-05-2023,Canada,24,Female,Organic,CMP_9,1,02-06-2023
USR_302,17-09-2023,Canada,54,Male,Facebook,CMP_7,1,21-09-2023
USR_303,04-05-2023,UK,54,Female,Google,CMP_6,1,05-05-2023
USR_304,07-01-2023,USA,54,Male,Organic,CMP_6,0,
USR_305,02-07-2023,USA,38,Female,Facebook,CMP_2,1,04-07-2023
USR_306,10-11-2023,India,18,Male,Instagram,CMP_8,0,
USR_307,01-08-2023,India,49,Female,Organic,CMP_5,1,05-08-2023
USR_308,10-07-2023,Canada,43,Female,Organic,CMP_5,0,
USR_309,22-04-2023,Canada,58,Male,Google,CMP_2,0,
USR_310,11-02-2023,India,58,Female,Referral,CMP_5,1,12-02-2023
USR_311,09-05-2023,USA,46,Male,Google,CMP_2,0,
USR_312,20-08-2023,UK,51,Female,Organic,CMP_5,1,21-08-2023
USR_313,20-03-2023,UK,41,Male,Facebook,CMP_1,1,24-03-2023
USR_314,28-03-2023,UK,25,Male,Facebook,CMP_5,1,29-03-2023
USR_315,01-06-2023,USA,38,Female,Referral,CMP_1,1,05-06-2023
USR_316,19-05-2023,Canada,24,Male,Organic,CMP_4,1,21-05-2023
USR_317,18-09-2023,Canada,49,Female,Instagram,CMP_5,1,21-09-2023
USR_318,08-08-2023,India,57,Male,Google,CMP_1,1,10-08-2023
USR_319,18-02-2023,India,31,Male,Instagram,CMP_4,0,
USR_320,29-04-2023,UK,53,Female,Google,CMP_2,0,
USR_321,26-09-2023,Canada,33,Female,Referral,CMP_5,1,29-09-2023
USR_322,10-01-2023,Canada,26,Male,Referral,CMP_1,1,14-01-2023
USR_323,24-04-2023,Canada,37,Male,Google,CMP_6,1,26-04-2023
USR_324,23-04-2023,UK,49,Female,Referral,CMP_8,0,
USR_325,25-09-2023,USA,38,Male,Instagram,CMP_9,1,29-09-2023
USR_326,29-10-2023,Canada,40,Female,Instagram,CMP_8,1,31-10-2023
USR_327,30-05-2023,USA,46,Male,Referral,CMP_9,1,31-05-2023
USR_328,10-10-2023,Canada,40,Female,Facebook,CMP_2,1,13-10-2023
USR_329,08-07-2023,India,36,Male,Instagram,CMP_1,1,12-07-2023
USR_330,08-10-2023,Canada,59,Female,Facebook,CMP_5,0,
USR_331,30-12-2023,UK,21,Female,Organic,CMP_5,1,01-01-2024
USR_332,20-12-2023,UK,56,Male,Instagram,CMP_9,1,24-12-2023
USR_333,13-01-2023,USA,39,Female,Instagram,CMP_9,0,
USR_334,12-01-2023,India,51,Male,Facebook,CMP_1,1,16-01-2023
USR_335,31-08-2023,USA,36,Male,Google,CMP_7,1,01-09-2023
USR_336,12-05-2023,India,52,Female,Organic,CMP_4,1,14-05-2023
USR_337,25-12-2023,India,21,Female,Facebook,CMP_5,1,26-12-2023
USR_338,29-04-2023,Canada,31,Male,Google,CMP_7,1,01-05-2023
USR_339,24-02-2023,USA,41,Female,Instagram,CMP_4,0,
USR_340,08-06-2023,Canada,36,Female,Google,CMP_3,1,10-06-2023
USR_341,10-11-2023,UK,53,Female,Facebook,CMP_6,1,14-11-2023
USR_342,16-12-2023,UK,50,Female,Organic,CMP_7,1,19-12-2023
USR_343,08-09-2023,USA,50,Male,Referral,CMP_9,1,12-09-2023
USR_344,16-02-2023,India,28,Male,Referral,CMP_6,0,
USR_345,21-11-2023,UK,27,Female,Instagram,CMP_9,1,22-11-2023
USR_346,16-12-2023,India,34,Male,Google,CMP_6,1,19-12-2023
USR_347,04-02-2023,India,46,Female,Organic,CMP_10,1,05-02-2023
USR_348,15-03-2023,USA,43,Female,Organic,CMP_5,1,17-03-2023
USR_349,09-05-2023,USA,23,Male,Organic,CMP_8,1,13-05-2023
USR_350,07-07-2023,Canada,41,Male,Organic,CMP_9,1,11-07-2023
USR_351,30-12-2023,UK,45,Male,Google,CMP_10,1,01-01-2024
USR_352,30-04-2023,India,48,Female,Google,CMP_10,1,04-05-2023
USR_353,25-11-2023,USA,37,Female,Facebook,CMP_4,1,26-11-2023
USR_354,15-07-2023,UK,24,Female,Google,CMP_2,1,19-07-2023
USR_355,05-09-2023,USA,24,Male,Facebook,CMP_4,0,
USR_356,22-05-2023,India,38,Female,Google,CMP_9,1,24-05-2023
USR_357,01-11-2023,Canada,38,Female,Google,CMP_3,1,02-11-2023
USR_358,10-06-2023,UK,59,Male,Organic,CMP_2,1,11-06-2023
USR_359,22-03-2023,USA,51,Female,Facebook,CMP_8,1,25-03-2023
USR_360,27-03-2023,USA,23,Female,Instagram,CMP_1,0,
USR_361,26-11-2023,India,39,Female,Facebook,CMP_5,1,28-11-2023
USR_362,24-05-2023,Canada,39,Female,Instagram,CMP_3,1,26-05-2023
USR_363,28-02-2023,India,49,Male,Referral,CMP_10,1,03-03-2023
USR_364,09-03-2023,UK,57,Male,Instagram,CMP_4,0,
USR_365,02-04-2023,India,45,Female,Instagram,CMP_9,1,03-04-2023
USR_366,05-09-2023,Canada,50,Female,Referral,CMP_3,1,08-09-2023
